Year,Player,School,Conf,G,Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,PPG.Off,SRS.SOS,Overall.Pct
1990,Garrison Hearst,Georgia,SEC,11,4.4,5,7,6.4,0,4.5,5,65.18181818181819,4.090909090909091,69.27272727272727,14.727272727272727,16.8,4.22,0.364
1990,Dwight Driver,Wyoming,WAC,12,4.4,5,4,6.5,0,4.5,5,57,2.1666666666666665,59.166666666666664,12.833333333333334,25.2,-2.44,0.692
1990,Randy Cuthbert,Duke,ACC,11,4.4,4,46,8.1,1,5.3,5,54.09090909090909,34,88.0909090909091,12.363636363636363,21.8,3.5,0.364
1990,Chris Pedersen,Iowa State,Big 8,9,4.4,3,0,0,0,4.4,3,63.333333333333336,0,63.333333333333336,14.444444444444445,24.5,3.6,0.409
1990,Eldwin Raphel,Baylor,SWC,11,4.4,3,2,6,0,4.5,3,49.63636363636363,1.0909090909090908,50.72727272727273,11.181818181818182,20.5,2.39,0.591
1990,Raymont Harris,Ohio State,Big Ten,12,4.4,8,7,6,1,4.5,9,43.25,3.5,46.75,9.916666666666666,29.1,3.3,0.625
1990,Ed Thigpen,Ole Miss,SEC,11,4.4,3,3,5.3,0,4.4,3,38.36363636363637,1.4545454545454546,39.81818181818182,8.727272727272727,21.7,-1.18,0.75
1990,James Joseph,Auburn,SEC,12,4.4,3,22,10.6,0,5.6,3,34.416666666666664,19.5,53.916666666666664,7.833333333333333,23.6,1.97,0.708
1990,Jeff Wright,Georgia Tech,ACC,10,4.4,4,4,3,0,4.4,4,39.5,1.2,40.7,8.9,31.6,4.28,0.958
1990,Ricky Ervins,USC,Pac-10,13,4.4,4,9,5,1,4.4,5,30.23076923076923,3.4615384615384617,33.69230769230769,6.923076923076923,26.8,7.35,0.654
1990,Rudy Harris,Clemson,ACC,11,4.4,3,6,10,2,4.8,5,33.90909090909091,5.454545454545454,39.36363636363637,7.636363636363637,27.8,2.61,0.833
1990,Ron Dickerson Jr.,Arkansas,SWC,11,4.4,0,11,9.5,1,5,1,32.90909090909091,9.545454545454545,42.45454545454545,7.545454545454546,23.9,2.51,0.273
1990,Gary Brown,Penn State,Ind,11,4.4,2,10,9.3,0,4.9,2,32.63636363636363,8.454545454545455,41.09090909090909,7.454545454545454,24.8,5.87,0.75
