Year.x,Player,School,Conf,G,Rushing.Avg,Rushing.TD,Receiving.Rec,Receiving.Avg,Receiving.TD,Scrimmage.Avg,Scrimmage.TD,Rushing.Yds.PG,Receiving.Yds.PG,Scrimmage.Yds.PG,Rushing.Att.PG,PPG.Off,SRS.SOS,Overall.Pct,NFL.Rushing.Avg,NFL.Rushing.Avg.Max
1991,Tommy Vardell,Stanford,Pac-10,12,4.8,22,26,9.2,0,5.2,22,99,19.833333333333332,118.83333333333333,20.583333333333332,30.7,6.3,0.667,1.65,2.3
1991,Vaughn Hebron,Virginia Tech,Big East,10,4.8,3,15,5.5,0,4.9,3,52.4,8.2,60.6,10.9,25,1.3,0.455,4.14,5.3
1991,Derrick Cullors,TCU,SWC,10,4.8,7,20,13.5,1,6.7,8,35.2,26.9,62.1,7.3,25.4,-1.46,0.636,3.65,4.6
1991,Brandon Bennett,South Carolina,Ind,11,4.6,9,16,10.5,0,5.1,9,63.81818181818182,15.272727272727273,79.0909090909091,14,22.7,4.26,0.364,3.6666666666666665,4.7
1991,Glyn Milburn,Stanford,Pac-10,12,4.6,3,41,11.4,3,6.1,6,54.5,38.916666666666664,93.41666666666667,11.916666666666666,30.7,6.3,0.667,4.46,6.4
1991,Rudy Harris,Clemson,ACC,12,4.6,9,3,5.3,0,4.6,9,43.666666666666664,1.3333333333333333,45,9.5,26.4,0.78,0.792,2.05,4.1
1991,Adrian Murrell,West Virginia,Big East,11,4.5,7,15,6.7,1,4.6,8,82.18181818181819,9.090909090909092,91.27272727272727,18.272727272727273,17,5.11,0.545,3.8,4.8
1991,Jermaine Williams,Pitt,Big East,11,4.5,3,10,8.8,0,4.8,3,55.90909090909091,8,63.90909090909091,12.454545454545455,22.2,3.42,0.545,4,4
1991,Mario Bates,Arizona State,Pac-10,11,4.4,2,4,6.8,0,4.5,2,43,2.4545454545454546,45.45454545454545,9.818181818181818,19.8,5.49,0.545,3.5285714285714285,4.1
1991,Raymont Harris,Ohio State,Big Ten,12,4.3,2,3,5.3,0,4.3,2,26.916666666666668,1.3333333333333333,28.25,6.333333333333333,23.1,2.15,0.667,3.3499999999999996,3.9
1991,Terry Richardson,Syracuse,Big East,11,4.2,0,8,10,0,4.7,0,31,7.2727272727272725,38.27272727272727,7.454545454545454,26.8,3.18,0.833,3.4,3.4
1991,Terrell Fletcher,Wisconsin,Big Ten,10,4.1,4,17,7.4,1,4.5,5,44.6,12.5,57.1,10.9,15.6,-1.5,0.455,3.7875,5.4
